pseudocode_doc,pseudocode_id,lane,target_src,implementation_status,test_traceability_status,gap_severity,direct_test_count,direct_test_files
docs/pseudocode/application/ingestion/stages/route.md,application/ingestion/stages/route.py,Processing-Kernel,src/dpost_v2/application/ingestion/stages/route.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/application/ingestion/stages/test_resolve_stabilize_route.py|tests/dpost_v2/application/ingestion/test_pipeline_integration.py
docs/pseudocode/application/ingestion/stages/stabilize.md,application/ingestion/stages/stabilize.py,Processing-Kernel,src/dpost_v2/application/ingestion/stages/stabilize.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/application/ingestion/stages/test_resolve_stabilize_route.py|tests/dpost_v2/application/ingestion/test_pipeline_integration.py
docs/pseudocode/application/records/service.md,application/records/service.py,Records-Core,src/dpost_v2/application/records/service.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/application/records/test_service.py
docs/pseudocode/application/runtime/dpost_app.md,application/runtime/dpost_app.py,Runtime-Core,src/dpost_v2/application/runtime/dpost_app.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/application/runtime/test_dpost_app.py|tests/dpost_v2/runtime/test_composition.py
docs/pseudocode/application/session/session_manager.md,application/session/session_manager.py,Runtime-Core,src/dpost_v2/application/session/session_manager.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/application/runtime/test_dpost_app.py|tests/dpost_v2/application/session/test_session_manager.py
docs/pseudocode/application/startup/bootstrap.md,application/startup/bootstrap.py,Startup-Core,src/dpost_v2/application/startup/bootstrap.py,implemented,direct_module_tests_present,covered,6,tests/dpost_v2/application/startup/test_bootstrap.py|tests/dpost_v2/application/startup/test_settings_service.py|tests/dpost_v2/harness/test_factories.py|tests/dpost_v2/harness/test_fixtures.py|tests/dpost_v2/smoke/test_bootstrap_harness_smoke.py|tests/dpost_v2/test___main__.py
docs/pseudocode/application/startup/context.md,application/startup/context.py,Startup-Core,src/dpost_v2/application/startup/context.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/application/startup/test_context.py|tests/dpost_v2/runtime/test_composition.py
docs/pseudocode/application/startup/settings.md,application/startup/settings.py,Startup-Core,src/dpost_v2/application/startup/settings.py,implemented,direct_module_tests_present,covered,4,tests/dpost_v2/application/startup/test_bootstrap.py|tests/dpost_v2/application/startup/test_settings.py|tests/dpost_v2/application/startup/test_settings_schema.py|tests/dpost_v2/application/startup/test_settings_service.py
docs/pseudocode/application/startup/settings_schema.md,application/startup/settings_schema.py,Startup-Core,src/dpost_v2/application/startup/settings_schema.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/application/startup/test_settings_schema.py
docs/pseudocode/application/startup/settings_service.md,application/startup/settings_service.py,Startup-Core,src/dpost_v2/application/startup/settings_service.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/application/startup/test_bootstrap.py|tests/dpost_v2/application/startup/test_settings_service.py
docs/pseudocode/domain/naming/identifiers.md,domain/naming/identifiers.py,Domain-Core,src/dpost_v2/domain/naming/identifiers.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/domain/naming/test_identifiers.py|tests/dpost_v2/domain/naming/test_policy.py
docs/pseudocode/domain/naming/policy.md,domain/naming/policy.py,Domain-Core,src/dpost_v2/domain/naming/policy.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/domain/naming/test_policy.py
docs/pseudocode/domain/naming/prefix_policy.md,domain/naming/prefix_policy.py,Domain-Core,src/dpost_v2/domain/naming/prefix_policy.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/domain/naming/test_policy.py|tests/dpost_v2/domain/naming/test_prefix_policy.py
docs/pseudocode/domain/processing/batch_models.md,domain/processing/batch_models.py,Domain-Core,src/dpost_v2/domain/processing/batch_models.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/domain/processing/test_batch_models.py
docs/pseudocode/domain/processing/models.md,domain/processing/models.py,Domain-Core,src/dpost_v2/domain/processing/models.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/domain/processing/test_batch_models.py|tests/dpost_v2/domain/processing/test_models.py
docs/pseudocode/domain/processing/staging.md,domain/processing/staging.py,Domain-Core,src/dpost_v2/domain/processing/staging.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/domain/processing/test_staging.py
docs/pseudocode/domain/processing/text.md,domain/processing/text.py,Domain-Core,src/dpost_v2/domain/processing/text.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/domain/processing/test_text.py
docs/pseudocode/domain/records/local_record.md,domain/records/local_record.py,Domain-Core,src/dpost_v2/domain/records/local_record.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/application/records/test_service.py|tests/dpost_v2/domain/records/test_local_record.py
docs/pseudocode/domain/routing/rules.md,domain/routing/rules.py,Domain-Core,src/dpost_v2/domain/routing/rules.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/domain/routing/test_rules.py
docs/pseudocode/infrastructure/observability/logging.md,infrastructure/observability/logging.py,Infra-Observability,src/dpost_v2/infrastructure/observability/logging.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/infrastructure/observability/test_adapter_integration.py|tests/dpost_v2/infrastructure/observability/test_logging.py
docs/pseudocode/infrastructure/observability/metrics.md,infrastructure/observability/metrics.py,Infra-Observability,src/dpost_v2/infrastructure/observability/metrics.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/infrastructure/observability/test_adapter_integration.py|tests/dpost_v2/infrastructure/observability/test_metrics.py
docs/pseudocode/infrastructure/observability/tracing.md,infrastructure/observability/tracing.py,Infra-Observability,src/dpost_v2/infrastructure/observability/tracing.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/infrastructure/observability/test_adapter_integration.py|tests/dpost_v2/infrastructure/observability/test_tracing.py
docs/pseudocode/infrastructure/runtime/ui/adapters.md,infrastructure/runtime/ui/adapters.py,Infra-UI,src/dpost_v2/infrastructure/runtime/ui/adapters.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/infrastructure/runtime/ui/test_adapters.py
docs/pseudocode/infrastructure/runtime/ui/desktop.md,infrastructure/runtime/ui/desktop.py,Infra-UI,src/dpost_v2/infrastructure/runtime/ui/desktop.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/infrastructure/runtime/ui/test_desktop.py
docs/pseudocode/infrastructure/runtime/ui/dialogs.md,infrastructure/runtime/ui/dialogs.py,Infra-UI,src/dpost_v2/infrastructure/runtime/ui/dialogs.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/infrastructure/runtime/ui/test_desktop.py|tests/dpost_v2/infrastructure/runtime/ui/test_dialogs.py
docs/pseudocode/infrastructure/runtime/ui/factory.md,infrastructure/runtime/ui/factory.py,Infra-UI,src/dpost_v2/infrastructure/runtime/ui/factory.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/infrastructure/runtime/ui/test_factory.py
docs/pseudocode/infrastructure/runtime/ui/headless.md,infrastructure/runtime/ui/headless.py,Infra-UI,src/dpost_v2/infrastructure/runtime/ui/headless.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/infrastructure/runtime/ui/test_headless.py
docs/pseudocode/infrastructure/runtime/ui/tkinter.md,infrastructure/runtime/ui/tkinter.py,Infra-UI,src/dpost_v2/infrastructure/runtime/ui/tkinter.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/infrastructure/runtime/ui/test_desktop.py|tests/dpost_v2/infrastructure/runtime/ui/test_tkinter.py
docs/pseudocode/infrastructure/storage/file_ops.md,infrastructure/storage/file_ops.py,Infra-Storage,src/dpost_v2/infrastructure/storage/file_ops.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/infrastructure/storage/test_adapter_integration.py|tests/dpost_v2/infrastructure/storage/test_file_ops.py
docs/pseudocode/infrastructure/storage/record_store.md,infrastructure/storage/record_store.py,Infra-Storage,src/dpost_v2/infrastructure/storage/record_store.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/infrastructure/storage/test_record_store.py
docs/pseudocode/infrastructure/storage/staging_dirs.md,infrastructure/storage/staging_dirs.py,Infra-Storage,src/dpost_v2/infrastructure/storage/staging_dirs.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/infrastructure/storage/test_adapter_integration.py|tests/dpost_v2/infrastructure/storage/test_staging_dirs.py
docs/pseudocode/infrastructure/sync/kadi.md,infrastructure/sync/kadi.py,Infra-Sync,src/dpost_v2/infrastructure/sync/kadi.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/infrastructure/sync/test_adapter_integration.py|tests/dpost_v2/infrastructure/sync/test_kadi.py
docs/pseudocode/infrastructure/sync/noop.md,infrastructure/sync/noop.py,Infra-Sync,src/dpost_v2/infrastructure/sync/noop.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/infrastructure/sync/test_adapter_integration.py|tests/dpost_v2/infrastructure/sync/test_noop.py
docs/pseudocode/plugins/catalog.md,plugins/catalog.py,Plugin-Host,src/dpost_v2/plugins/catalog.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/plugins/test_catalog.py|tests/dpost_v2/plugins/test_profile_selection.py
docs/pseudocode/plugins/contracts.md,plugins/contracts.py,Plugin-Host,src/dpost_v2/plugins/contracts.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/plugins/test_direct_module_imports.py
docs/pseudocode/plugins/devices/_device_template/plugin.md,plugins/devices/_device_template/plugin.py,Plugin-Device,src/dpost_v2/plugins/devices/_device_template/plugin.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/plugins/test_device_template.py
docs/pseudocode/plugins/devices/_device_template/processor.md,plugins/devices/_device_template/processor.py,Plugin-Device,src/dpost_v2/plugins/devices/_device_template/processor.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/plugins/test_direct_module_imports.py
docs/pseudocode/plugins/devices/_device_template/settings.md,plugins/devices/_device_template/settings.py,Plugin-Device,src/dpost_v2/plugins/devices/_device_template/settings.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/plugins/test_device_template.py
docs/pseudocode/plugins/discovery.md,plugins/discovery.py,Plugin-Host,src/dpost_v2/plugins/discovery.py,implemented,direct_module_tests_present,covered,7,tests/dpost_v2/plugins/test_catalog.py|tests/dpost_v2/plugins/test_device_integration.py|tests/dpost_v2/plugins/test_discovery.py|tests/dpost_v2/plugins/test_host.py|tests/dpost_v2/plugins/test_migration_coverage.py|tests/dpost_v2/plugins/test_namespace_discovery.py|tests/dpost_v2/plugins/test_profile_selection.py
docs/pseudocode/plugins/host.md,plugins/host.py,Plugin-Host,src/dpost_v2/plugins/host.py,implemented,direct_module_tests_present,covered,3,tests/dpost_v2/plugins/test_device_integration.py|tests/dpost_v2/plugins/test_host.py|tests/dpost_v2/plugins/test_migration_coverage.py
docs/pseudocode/plugins/pcs/_pc_template/plugin.md,plugins/pcs/_pc_template/plugin.py,Plugin-PC,src/dpost_v2/plugins/pcs/_pc_template/plugin.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/plugins/test_pc_template.py
docs/pseudocode/plugins/pcs/_pc_template/settings.md,plugins/pcs/_pc_template/settings.py,Plugin-PC,src/dpost_v2/plugins/pcs/_pc_template/settings.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/plugins/test_pc_template.py
docs/pseudocode/plugins/profile_selection.md,plugins/profile_selection.py,Plugin-Host,src/dpost_v2/plugins/profile_selection.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/plugins/test_profile_selection.py
docs/pseudocode/runtime/composition.md,runtime/composition.py,Startup-Core,src/dpost_v2/runtime/composition.py,implemented,direct_module_tests_present,covered,3,tests/dpost_v2/application/startup/test_bootstrap.py|tests/dpost_v2/runtime/test_composition.py|tests/dpost_v2/smoke/test_bootstrap_harness_smoke.py
docs/pseudocode/runtime/startup_dependencies.md,runtime/startup_dependencies.py,Startup-Core,src/dpost_v2/runtime/startup_dependencies.py,implemented,direct_module_tests_present,covered,5,tests/dpost_v2/application/startup/test_bootstrap.py|tests/dpost_v2/application/startup/test_context.py|tests/dpost_v2/harness/test_factories.py|tests/dpost_v2/runtime/test_composition.py|tests/dpost_v2/runtime/test_startup_dependencies.py
